station_id,source_dataset,gnodeb_id,cell_id,pci,longitude,latitude,height,azimuth,downtilt,tx_power,status
KG_0033166_26_170,Kaggle5GRootCause,0033166,26,170,128.19049,32.575416,48.1,230,17,34.9,normal
KG_0033286_62_507,Kaggle5GRootCause,0033286,62,507,128.18711,32.574817,20,140,0,34.9,normal
KG_0034038_5_719,Kaggle5GRootCause,0034038,5,719,128.18879,32.577217,36.2,39,15,34.9,normal
KG_0033237_24_502,Kaggle5GRootCause,0033237,24,502,128.18915,32.585915,81,330,19,34.9,normal
KG_0033918_27_412,Kaggle5GRootCause,0033918,27,412,128.19224,32.582537,17.6,220,2,34.9,normal
KG_0034038_25_467,Kaggle5GRootCause,0034038,25,467,128.18669,32.576821,31,2,16,34.9,normal
KG_0033317_3_896,Kaggle5GRootCause,0033317,3,896,128.18597,32.577162,23,250,8,34.9,normal
KG_0000775_15_325,Kaggle5GRootCause,0000775,15,325,128.16583,32.583778,0,0,0,46,normal
KG_0033166_16_1123,Kaggle5GRootCause,0033166,16,1123,128.19057,32.574846,33.3,90,8,34.9,normal
KG_0033288_61_486,Kaggle5GRootCause,0033288,61,486,128.20057,32.573543,0,0,0,24,normal
KG_0034039_2_619,Kaggle5GRootCause,0034039,2,619,128.19197,32.578628,123,90,21,34.9,normal
KG_0034039_0_364,Kaggle5GRootCause,0034039,0,364,128.19106,32.578709,111,90,21,34.9,normal
KG_0033166_3_281,Kaggle5GRootCause,0033166,3,281,128.19054,32.57469,31.1,250,11,34.9,normal
KG_0033164_16_289,Kaggle5GRootCause,0033164,16,289,128.18717,32.583266,18.4,270,7,34.9,normal
KG_0034038_38_797,Kaggle5GRootCause,0034038,38,797,128.18719,32.573698,0,0,0,46,normal
KG_0033317_1_567,Kaggle5GRootCause,0033317,1,567,128.1842,32.579823,48.2,340,10,34.9,normal
KG_0033317_14_783,Kaggle5GRootCause,0033317,14,783,128.18489,32.579611,25.9,55,10,34.9,normal
KG_0000291_24_668,Kaggle5GRootCause,0000291,24,668,128.17558,32.593064,55,46,15,34.9,normal
KG_0000293_2_695,Kaggle5GRootCause,0000293,2,695,128.17541,32.589392,47,1,0,34.9,normal
KG_0033918_26_1154,Kaggle5GRootCause,0033918,26,1154,128.19213,32.582522,15.4,310,0,34.9,normal
KG_0033917_36_736,Kaggle5GRootCause,0033917,36,736,128.19385,32.578938,21.9,330,12,34.9,normal
KG_0033317_25_272,Kaggle5GRootCause,0033317,25,272,128.17668,32.580509,17,300,10,34.9,normal
KG_0033917_4_837,Kaggle5GRootCause,0033917,4,837,128.19389,32.578945,21.9,100,16,34.9,normal
KG_0033318_28_670,Kaggle5GRootCause,0033318,28,670,128.20972,32.581644,42.9,30,20,34.9,normal
KG_0033166_17_95,Kaggle5GRootCause,0033166,17,95,128.21844,32.577399,30,263,20,34.9,normal
KG_0033166_15_249,Kaggle5GRootCause,0033166,15,249,128.1903,32.577663,30,165,5,34.9,normal
KG_0033317_16_980,Kaggle5GRootCause,0033317,16,980,128.18674,32.580678,16,217,2,34.9,normal
KG_0033918_17_924,Kaggle5GRootCause,0033918,17,924,128.20046,32.585133,17.5,65,0,34.9,normal
KG_0033978_4_248,Kaggle5GRootCause,0033978,4,248,128.19687,32.587289,16.4,295,8,34.9,normal
KG_0033918_4_243,Kaggle5GRootCause,0033918,4,243,128.19546,32.58608,15,60,20,34.9,normal
KG_0033918_24_1580,Kaggle5GRootCause,0033918,24,1580,128.19364,32.58222,22.7,350,4,34.9,normal
KG_0033917_25_539,Kaggle5GRootCause,0033917,25,539,128.19688,32.580014,10.4,305,4,34.9,normal
KG_0033164_5_1041,Kaggle5GRootCause,0033164,5,1041,128.18654,32.585892,51.1,170,5,34.9,normal
KG_0033317_25_959,Kaggle5GRootCause,0033317,25,959,128.1767,32.580512,17,300,10,34.9,normal
KG_0033918_29_635,Kaggle5GRootCause,0033918,29,635,128.19382,32.584525,44.7,180,11,34.9,normal
KG_0033164_26_498,Kaggle5GRootCause,0033164,26,498,128.18925,32.580995,26.6,60,2,34.9,normal
KG_0033237_1_685,Kaggle5GRootCause,0033237,1,685,128.19242,32.589677,23,220,4,34.9,normal
KG_0033978_28_563,Kaggle5GRootCause,0033978,28,563,128.1943,32.591994,61,260,20,34.9,normal
KG_0033164_2_193,Kaggle5GRootCause,0033164,2,193,128.18687,32.585941,51.1,340,6,34.9,normal
KG_0033984_26_464,Kaggle5GRootCause,0033984,26,464,128.19073,32.590627,64,350,10,34.9,normal
KG_0033918_49_752,Kaggle5GRootCause,0033918,49,752,128.19443,32.586273,19,210,0,34.9,normal
KG_0033918_12_194,Kaggle5GRootCause,0033918,12,194,128.19956,32.58596,22.4,50,0,34.9,normal
KG_0034004_36_402,Kaggle5GRootCause,0034004,36,402,128.19987,32.571728,28,340,0,34.9,normal
KG_0034039_24_9,Kaggle5GRootCause,0034039,24,9,128.19222,32.574291,0,0,0,46,normal
KG_0033978_27_756,Kaggle5GRootCause,0033978,27,756,128.19546,32.588465,20.7,240,4,34.9,normal
KG_0033918_4_589,Kaggle5GRootCause,0033918,4,589,128.19542,32.586075,15,60,20,34.9,normal
KG_0033917_36_793,Kaggle5GRootCause,0033917,36,793,128.19367,32.578912,21.9,330,12,34.9,normal
KG_0033917_26_1064,Kaggle5GRootCause,0033917,26,1064,128.19469,32.579743,24,110,4,34.9,normal
KG_0033317_29_649,Kaggle5GRootCause,0033317,29,649,128.18596,32.577161,23,0,7,34.9,normal
KG_0033918_39_132,Kaggle5GRootCause,0033918,39,132,128.19372,32.589493,13.2,270,20,34.9,normal
KG_0033164_4_601,Kaggle5GRootCause,0033164,4,601,128.18615,32.584346,52.9,162,14,34.9,normal
KG_0041358_31_868,Kaggle5GRootCause,0041358,31,868,128.18098,32.561664,0,0,0,46,normal
KG_0033166_16_833,Kaggle5GRootCause,0033166,16,833,128.19042,32.574824,33.3,90,8,34.9,normal
KG_0033286_28_348,Kaggle5GRootCause,0033286,28,348,128.18804,32.575369,20,199,10,34.9,normal
KG_0033164_26_556,Kaggle5GRootCause,0033164,26,556,128.1892,32.580987,26.6,60,2,34.9,normal
KG_0033237_12_266,Kaggle5GRootCause,0033237,12,266,128.19173,32.587703,51.3,260,16,34.9,normal
KG_0034038_28_1243,Kaggle5GRootCause,0034038,28,1243,128.18672,32.576865,24,90,8,34.9,normal
KG_0033918_29_952,Kaggle5GRootCause,0033918,29,952,128.19355,32.584487,44.7,180,11,34.9,normal
KG_0033984_2_1000,Kaggle5GRootCause,0033984,2,1000,128.18926,32.589735,78,240,10,34.9,normal
KG_0034036_12_652,Kaggle5GRootCause,0034036,12,652,128.20056,32.594648,0,0,0,46,normal
KG_0033237_4_1049,Kaggle5GRootCause,0033237,4,1049,128.18818,32.585893,18.6,110,1,34.9,normal
KG_0033317_14_433,Kaggle5GRootCause,0033317,14,433,128.18518,32.579653,25.9,55,10,34.9,normal
KG_0033286_50_855,Kaggle5GRootCause,0033286,50,855,128.18244,32.577828,21.4,215,12,34.9,normal
KG_0033918_26_935,Kaggle5GRootCause,0033918,26,935,128.19217,32.582528,15.4,310,0,34.9,normal
KG_0041352_28_528,Kaggle5GRootCause,0041352,28,528,128.19483,32.573622,0,0,0,46,normal
KG_0033237_1_1223,Kaggle5GRootCause,0033237,1,1223,128.19239,32.589673,23,220,4,34.9,normal
KG_0033237_27_684,Kaggle5GRootCause,0033237,27,684,128.19198,32.590167,14.2,70,5,34.9,normal
KG_0033918_28_952,Kaggle5GRootCause,0033918,28,952,128.19391,32.584533,42.7,304,12,34.9,normal
KG_0034038_5_1571,Kaggle5GRootCause,0034038,5,1571,128.18872,32.577207,36.2,39,15,34.9,normal
KG_0033918_14_137,Kaggle5GRootCause,0033918,14,137,128.19886,32.584313,33,310,8,34.9,normal
KG_0033166_29_493,Kaggle5GRootCause,0033166,29,493,128.19132,32.576391,17,10,9,34.9,normal
KG_0033317_13_1101,Kaggle5GRootCause,0033317,13,1101,128.18677,32.580619,17.4,5,5,34.9,normal
KG_0033164_5_896,Kaggle5GRootCause,0033164,5,896,128.18698,32.585957,51.1,170,5,34.9,normal
KG_0033168_3_101,Kaggle5GRootCause,0033168,3,101,128.20341,32.578882,28.2,265,8,34.9,normal
KG_0033163_3_285,Kaggle5GRootCause,0033163,3,285,128.19098,32.568854,15.6,280,5,34.9,normal
KG_0033918_13_993,Kaggle5GRootCause,0033918,13,993,128.19743,32.586607,8.5,185,3,34.9,normal
KG_0033286_62_975,Kaggle5GRootCause,0033286,62,975,128.18712,32.574819,20,140,0,34.9,normal
KG_0033918_38_778,Kaggle5GRootCause,0033918,38,778,128.19543,32.586047,15,180,20,34.9,normal
KG_0033918_28_1208,Kaggle5GRootCause,0033918,28,1208,128.1938,32.584517,42.7,304,12,34.9,normal
KG_0033164_27_342,Kaggle5GRootCause,0033164,27,342,128.18896,32.580912,29.7,240,3,34.9,normal
KG_0033317_3_1665,Kaggle5GRootCause,0033317,3,1665,128.18591,32.577154,23,250,8,34.9,normal
KG_0034039_3_982,Kaggle5GRootCause,0034039,3,982,128.19212,32.57879,123,290,39,34.9,normal
KG_0033237_24_955,Kaggle5GRootCause,0033237,24,955,128.18924,32.585929,81,330,19,34.9,normal
KG_0034038_4_1090,Kaggle5GRootCause,0034038,4,1090,128.18791,32.579077,5,30,8,34.9,normal
KG_0033978_24_556,Kaggle5GRootCause,0033978,24,556,128.19545,32.588446,19.7,10,14,34.9,normal
KG_0033317_16_1101,Kaggle5GRootCause,0033317,16,1101,128.18702,32.580719,16,217,2,34.9,normal
KG_0033978_60_263,Kaggle5GRootCause,0033978,60,263,128.19973,32.587641,12,218,3,34.9,normal
KG_0033918_49_1560,Kaggle5GRootCause,0033918,49,1560,128.19443,32.586273,19,200,0,34.9,normal
KG_0033237_15_955,Kaggle5GRootCause,0033237,15,955,128.19037,32.586591,25.5,170,1,34.9,normal
KG_0033918_27_1009,Kaggle5GRootCause,0033918,27,1009,128.19223,32.582537,17.6,220,2,34.9,normal
KG_0033164_26_578,Kaggle5GRootCause,0033164,26,578,128.18924,32.580993,26.6,60,2,34.9,normal
KG_0033317_14_980,Kaggle5GRootCause,0033317,14,980,128.18518,32.579654,25.9,55,10,34.9,normal
KG_0033918_39_652,Kaggle5GRootCause,0033918,39,652,128.19372,32.589493,13.2,270,20,34.9,normal
KG_0033317_29_1336,Kaggle5GRootCause,0033317,29,1336,128.18581,32.577139,23,0,7,34.9,normal
KG_0034038_26_1243,Kaggle5GRootCause,0034038,26,1243,128.18679,32.576813,28,240,19,34.9,normal
KG_0033918_27_870,Kaggle5GRootCause,0033918,27,870,128.19213,32.582522,17.6,220,2,34.9,normal
KG_0034039_4_1274,Kaggle5GRootCause,0034039,4,1274,128.19258,32.578767,111,255,20,34.9,normal
KG_0033978_61_907,Kaggle5GRootCause,0033978,61,907,128.19764,32.58806,15,160,6,34.9,normal
KG_0033237_24_1218,Kaggle5GRootCause,0033237,24,1218,128.18915,32.585915,81,330,19,34.9,normal
KG_0033917_36_1338,Kaggle5GRootCause,0033917,36,1338,128.19369,32.578916,21.9,330,12,34.9,normal
KG_0033164_14_617,Kaggle5GRootCause,0033164,14,617,128.18917,32.580997,28.7,150,20,34.9,normal
KG_0033918_38_1098,Kaggle5GRootCause,0033918,38,1098,128.19562,32.586076,15,180,20,34.9,normal
KG_0033918_25_680,Kaggle5GRootCause,0033918,25,680,128.19386,32.582252,22.7,215,2,34.9,normal
KG_0033237_4_1218,Kaggle5GRootCause,0033237,4,1218,128.18821,32.585897,18.6,110,1,34.9,normal
KG_0033164_4_1041,Kaggle5GRootCause,0033164,4,1041,128.18615,32.584346,52.9,162,14,34.9,normal
KG_0033164_27_498,Kaggle5GRootCause,0033164,27,498,128.18927,32.580957,29.7,240,3,34.9,normal
KG_0033166_15_464,Kaggle5GRootCause,0033166,15,464,128.18995,32.577612,30,165,5,34.9,normal
KG_0033164_4_635,Kaggle5GRootCause,0033164,4,635,128.18636,32.584377,52.9,162,14,34.9,normal
KG_0034039_4_1140,Kaggle5GRootCause,0034039,4,1140,128.19259,32.578768,111,255,20,34.9,normal
KG_0033166_5_349,Kaggle5GRootCause,0033166,5,349,128.19266,32.577294,23,10,5,34.9,normal
KG_0034038_24_662,Kaggle5GRootCause,0034038,24,662,128.18736,32.577862,56,40,44,34.9,normal
KG_0033166_3_571,Kaggle5GRootCause,0033166,3,571,128.19039,32.574669,31.1,250,11,34.9,normal
KG_0033916_5_277,Kaggle5GRootCause,0033916,5,277,128.19854,32.582123,64,215,14,34.9,normal
KG_0033164_26_795,Kaggle5GRootCause,0033164,26,795,128.18911,32.580974,26.6,60,2,34.9,normal
KG_0033166_5_747,Kaggle5GRootCause,0033166,5,747,128.19289,32.577327,23,10,5,34.9,normal
KG_0033916_0_999,Kaggle5GRootCause,0033916,0,999,128.19879,32.582274,63,291,16,34.9,normal
KG_0033918_26_870,Kaggle5GRootCause,0033918,26,870,128.1922,32.582532,15.4,310,0,34.9,normal
KG_0033164_27_320,Kaggle5GRootCause,0033164,27,320,128.18919,32.580945,29.7,240,3,34.9,normal
KG_0034038_25_1316,Kaggle5GRootCause,0034038,25,1316,128.18672,32.576825,31,2,16,34.9,normal
KG_0033164_27_521,Kaggle5GRootCause,0033164,27,521,128.18912,32.580934,29.7,240,3,34.9,normal
KG_0033317_13_433,Kaggle5GRootCause,0033317,13,433,128.18678,32.58062,17.4,5,5,34.9,normal
KG_0033918_38_787,Kaggle5GRootCause,0033918,38,787,128.19565,32.586079,15,180,20,34.9,normal
KG_0034038_24_1123,Kaggle5GRootCause,0034038,24,1123,128.18738,32.577864,56,40,44,34.9,normal
KG_0034038_2_662,Kaggle5GRootCause,0034038,2,662,128.1879,32.579045,5,140,10,34.9,normal
KG_0034038_25_981,Kaggle5GRootCause,0034038,25,981,128.18678,32.576834,31,2,16,34.9,normal
KG_0033237_15_871,Kaggle5GRootCause,0033237,15,871,128.19077,32.586649,25.5,170,1,34.9,normal
KG_0033317_29_765,Kaggle5GRootCause,0033317,29,765,128.18594,32.577157,23,0,7,34.9,normal
KG_0033164_27_559,Kaggle5GRootCause,0033164,27,559,128.18921,32.580948,29.7,240,3,34.9,normal
KG_0034038_28_1133,Kaggle5GRootCause,0034038,28,1133,128.18675,32.57687,24,90,8,34.9,normal
KG_0034038_0_761,Kaggle5GRootCause,0034038,0,761,128.18738,32.577961,56,179,41,34.9,normal
KG_0034039_0_1103,Kaggle5GRootCause,0034039,0,1103,128.19112,32.578717,111,90,21,34.9,normal
KG_0034038_25_871,Kaggle5GRootCause,0034038,25,871,128.18664,32.576814,31,2,16,34.9,normal
