fault_id,source_dataset,scenario_id,fault_type_raw,fault_type_cn,fault_level,affected_kpis,start_time,end_time,station_id,fault_longitude,fault_latitude,truth_longitude,truth_latitude,localization_error_m,diagnosis_text
TS_anomalous__jammer__File_00010,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:05:23.000,2025-01-01 00:05:35.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00011,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:10:48.300,2025-01-01 00:11:01.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00012,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:02:43.000,2025-01-01 00:02:55.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00013,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:14:48.300,2025-01-01 00:15:01.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00014,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:03:13.000,2025-01-01 00:03:25.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00015,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:15:08.300,2025-01-01 00:15:21.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00016,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:13:58.300,2025-01-01 00:14:11.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00017,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:15:28.300,2025-01-01 00:15:41.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00018,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:12:38.300,2025-01-01 00:12:51.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00019,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:05:53.000,2025-01-01 00:06:05.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00020,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:12:58.300,2025-01-01 00:13:11.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00021,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:07:33.000,2025-01-01 00:07:45.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00022,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:06:33.000,2025-01-01 00:06:45.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00023,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:04:23.000,2025-01-01 00:04:35.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00024,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:12:08.300,2025-01-01 00:12:21.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00025,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:04:03.000,2025-01-01 00:04:15.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00026,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:13:38.300,2025-01-01 00:13:51.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00027,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:15:58.300,2025-01-01 00:16:11.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00028,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:15:48.300,2025-01-01 00:16:01.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00029,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:01:43.000,2025-01-01 00:01:55.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00030,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:00:33.000,2025-01-01 00:00:45.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00031,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:03:03.000,2025-01-01 00:03:15.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00032,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:16:18.300,2025-01-01 00:16:31.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00033,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:14:58.300,2025-01-01 00:15:11.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00034,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:01:23.000,2025-01-01 00:01:35.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00035,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:07:13.000,2025-01-01 00:07:25.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00036,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:11:08.300,2025-01-01 00:11:21.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00037,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:05:43.000,2025-01-01 00:05:55.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00038,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:10:18.300,2025-01-01 00:10:31.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00039,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:10:58.300,2025-01-01 00:11:11.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00040,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:08:58.300,2025-01-01 00:09:11.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00041,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:13:28.300,2025-01-01 00:13:41.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00042,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:09:28.300,2025-01-01 00:09:41.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00043,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:07:43.000,2025-01-01 00:07:55.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
