location_sample_id,scenario_id,timestamp,longitude,latitude,serving_pci,rsrp,sinr,throughput_mbps,rb_num,gps_speed_kmh,nearest_station_id,nearest_station_distance_m,root_cause,fault_type_cn
LOC_ID_IGGXMA9GZH_00,ID_IGGXMA9GZH,2025-05-07 14:24:22.000000,128.18691,32.584055,330,-86.56,22.51,964.18,202.7,24,KG_0033164_4_330,57.677676,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_01,ID_IGGXMA9GZH,2025-05-07 14:24:23.000000,128.18691,32.584055,330,-86.01,21.17,797.53,207.17,5,KG_0033164_4_330,57.677676,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_02,ID_IGGXMA9GZH,2025-05-07 14:24:24.000000,128.18587,32.585626,330,-84.77,20.68,803.45,197.95,8,KG_0033164_4_330,147.58571,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_03,ID_IGGXMA9GZH,2025-05-07 14:24:25.000000,128.18691,32.584055,660,-85.11,19.91,258.08,186.76,10,KG_0000293_0_660,1698.4078,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_04,ID_IGGXMA9GZH,2025-05-07 14:24:26.000000,128.18691,32.584055,660,-87.1,22.06,330.57,210.03,26,KG_0000293_0_660,1698.4078,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_05,ID_IGGXMA9GZH,2025-05-07 14:24:27.000000,128.18691,32.584055,660,-89.17,20.81,369.32,206.82,4,KG_0000293_0_660,1698.4078,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_06,ID_IGGXMA9GZH,2025-05-07 14:24:28.000000,128.18691,32.584055,660,-89.4,20.93,396.12,209.6,24,KG_0000293_0_660,1698.4078,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_07,ID_IGGXMA9GZH,2025-05-07 14:24:29.000000,128.18691,32.584055,591,-87.05,21.71,911.82,205.73,36,KG_0033164_5_591,211.60945,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_08,ID_IGGXMA9GZH,2025-05-07 14:24:30.000000,128.18691,32.584055,591,-84.2,22.14,893.16,205.63,16,KG_0033164_5_591,211.60945,C2,信号中断/覆盖退化
LOC_ID_IGGXMA9GZH_09,ID_IGGXMA9GZH,2025-05-07 14:24:31.000000,128.18691,32.584055,591,-86.77,20.48,993.16,209.06,36,KG_0033164_5_591,211.60945,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_00,ID_D6C9N2X295,2025-05-07 15:18:52.000000,128.18858,32.583168,151,-87.21,10.23,1209.14,209.18,7,KG_0033164_12_151,165.68272,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_01,ID_D6C9N2X295,2025-05-07 15:18:53.000000,128.18859,32.583168,151,-87.05,10.61,1275.45,207.86,18,KG_0033164_12_151,164.40865,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_02,ID_D6C9N2X295,2025-05-07 15:18:54.000000,128.18862,32.583157,151,-84.47,10.43,1214.03,205.2,25,KG_0033164_12_151,162.79844,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_03,ID_D6C9N2X295,2025-05-07 15:18:55.000000,128.18864,32.583157,151,-87.37,10.33,1172.05,200.28,32,KG_0033164_12_151,160.80271,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_04,ID_D6C9N2X295,2025-05-07 15:18:56.000000,128.18865,32.583156,338,-85.42,9.72,495.81,210.48,1,KG_0033918_26_338,2976.7012,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_05,ID_D6C9N2X295,2025-05-07 15:18:57.000000,128.18867,32.583148,338,-87.14,8.82,460.17,210.62,30,KG_0033918_26_338,2974.612,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_06,ID_D6C9N2X295,2025-05-07 15:18:58.000000,128.18869,32.583148,338,-89.4,8.44,407.35,208.29,4,KG_0033918_26_338,2972.6455,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_07,ID_D6C9N2X295,2025-05-07 15:18:59.000000,128.18941,32.58311,338,-82.13,10.56,475.98,206.48,0,KG_0033918_26_338,2905.3655,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_08,ID_D6C9N2X295,2025-05-07 15:19:00.000000,128.18871,32.583148,330,-81.97,10.79,1202.48,209.94,23,KG_0033164_4_330,234.63352,C2,信号中断/覆盖退化
LOC_ID_D6C9N2X295_09,ID_D6C9N2X295,2025-05-07 15:19:01.000000,128.18872,32.583136,330,-77.82,17.05,1301.84,210.27,18,KG_0033164_4_330,236.03998,C2,信号中断/覆盖退化
LOC_ID_8JC15PNP3Q_00,ID_8JC15PNP3Q,2025-05-07 13:41:42.000000,128.19723,32.585111,441,-78.52,10.36,1136.62,178.59,31,KG_0033918_13_441,167.00765,C5,基站故障
LOC_ID_8JC15PNP3Q_01,ID_8JC15PNP3Q,2025-05-07 13:41:43.000000,128.19845,32.584408,441,-82.88,5.69,626.36,208.72,29,KG_0033918_13_441,263.11487,C5,基站故障
LOC_ID_8JC15PNP3Q_02,ID_8JC15PNP3Q,2025-05-07 13:41:44.000000,128.19724,32.58508,441,-82.34,3.9,1143.77,210.15,21,KG_0033918_13_441,170.36308,C5,基站故障
LOC_ID_8JC15PNP3Q_03,ID_8JC15PNP3Q,2025-05-07 13:41:45.000000,128.19723,32.585069,441,-84.55,10.32,319.87,183.63,32,KG_0033918_13_441,171.65384,C5,基站故障
LOC_ID_8JC15PNP3Q_04,ID_8JC15PNP3Q,2025-05-07 13:41:46.000000,128.19723,32.585038,226,-76.96,10.88,435.1,192.84,30,KG_0033918_38_226,192.23513,C5,基站故障
LOC_ID_8JC15PNP3Q_05,ID_8JC15PNP3Q,2025-05-07 13:41:47.000000,128.19722,32.585019,441,-85.45,4.44,449.48,206.35,3,KG_0033918_13_441,177.25131,C5,基站故障
LOC_ID_8JC15PNP3Q_06,ID_8JC15PNP3Q,2025-05-07 13:41:48.000000,128.19722,32.585,226,-78.13,6.39,412.46,191.74,26,KG_0033918_38_226,194.26541,C5,基站故障
LOC_ID_8JC15PNP3Q_07,ID_8JC15PNP3Q,2025-05-07 13:41:49.000000,128.19721,32.584973,226,-75.37,11.83,1137.89,198.58,10,KG_0033918_38_226,195.01771,C5,基站故障
LOC_ID_8JC15PNP3Q_08,ID_8JC15PNP3Q,2025-05-07 13:41:50.000000,128.19719,32.58495,226,-69.9,16.38,1134.6,189.86,24,KG_0033918_38_226,195.5399,C5,基站故障
LOC_ID_8JC15PNP3Q_09,ID_8JC15PNP3Q,2025-05-07 13:41:51.000000,128.19718,32.584912,226,-71.06,19.89,1097.91,194.06,8,KG_0033918_38_226,197.18829,C5,基站故障
LOC_ID_JH01F8GPC2_00,ID_JH01F8GPC2,2025-05-07 16:33:26.000000,128.18702,32.582126,217,-85.51,2.85,1008.9,199.75,22,KG_0033317_13_217,165.6915,C8,带宽不足
LOC_ID_JH01F8GPC2_01,ID_JH01F8GPC2,2025-05-07 16:33:27.000000,128.18703,32.582106,217,-79.09,7.62,862.89,181.18,20,KG_0033317_13_217,163.56324,C8,带宽不足
LOC_ID_JH01F8GPC2_02,ID_JH01F8GPC2,2025-05-07 16:33:28.000000,128.18705,32.582099,217,-77.71,10.27,1073.07,210.59,5,KG_0033317_13_217,162.94376,C8,带宽不足
LOC_ID_JH01F8GPC2_03,ID_JH01F8GPC2,2025-05-07 16:33:29.000000,128.18707,32.582076,217,-79.19,7.03,392.58,104.955,25,KG_0033317_13_217,160.51532,C8,带宽不足
LOC_ID_JH01F8GPC2_04,ID_JH01F8GPC2,2025-05-07 16:33:30.000000,128.18709,32.582056,217,-83.61,5.75,358.8,105.585,22,KG_0033317_13_217,158.58686,C8,带宽不足
LOC_ID_JH01F8GPC2_05,ID_JH01F8GPC2,2025-05-07 16:33:31.000000,128.18712,32.582037,96,-88.85,1.21,263.23,105.425,16,KG_0033317_14_96,319.73594,C8,带宽不足
LOC_ID_JH01F8GPC2_06,ID_JH01F8GPC2,2025-05-07 16:33:32.000000,128.18717,32.582006,96,-80,11.88,142.13,97.225,21,KG_0033317_14_96,319.1873,C8,带宽不足
LOC_ID_JH01F8GPC2_07,ID_JH01F8GPC2,2025-05-07 16:33:33.000000,128.18719,32.581963,96,-81.92,15.24,1199.28,204.47,21,KG_0033317_14_96,316.82035,C8,带宽不足
LOC_ID_JH01F8GPC2_08,ID_JH01F8GPC2,2025-05-07 16:33:34.000000,128.18723,32.581937,96,-79.16,11.86,1058.15,203.55,13,KG_0033317_14_96,316.49263,C8,带宽不足
LOC_ID_JH01F8GPC2_09,ID_JH01F8GPC2,2025-05-07 16:33:35.000000,128.18726,32.581883,96,-85.31,8.49,1066.42,206.97,34,KG_0033317_14_96,313.24756,C8,带宽不足
LOC_ID_4T5Z9ZTC6P_00,ID_4T5Z9ZTC6P,2025-05-07 13:19:22.000000,128.19198,32.583847,696,-85.59,11.39,870.72,207.28,35,KG_0033918_52_696,146.34423,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_01,ID_4T5Z9ZTC6P,2025-05-07 13:19:23.000000,128.19216,32.584437,696,-85.57,12.94,858.79,205.25,0,KG_0033918_52_696,212.06789,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_02,ID_4T5Z9ZTC6P,2025-05-07 13:19:24.000000,128.19207,32.583828,696,-84.98,9.86,981.94,206.9,36,KG_0033918_52_696,144.12206,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_03,ID_4T5Z9ZTC6P,2025-05-07 13:19:25.000000,128.1921,32.583827,696,-85.61,9.52,378.61,205.99,20,KG_0033918_52_696,144.09643,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_04,ID_4T5Z9ZTC6P,2025-05-07 13:19:26.000000,128.19213,32.583827,696,-85.97,9.6,343.93,200.39,14,KG_0033918_52_696,144.18754,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_05,ID_4T5Z9ZTC6P,2025-05-07 13:19:27.000000,128.19213,32.583827,338,-86.59,10.02,385.3,206.48,21,KG_0033918_26_338,148.0951,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_06,ID_4T5Z9ZTC6P,2025-05-07 13:19:28.000000,128.19215,32.583827,338,-88.1,10.78,368.73,204.52,16,KG_0033918_26_338,148.22367,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_07,ID_4T5Z9ZTC6P,2025-05-07 13:19:29.000000,128.19216,32.583838,338,-84.19,10.96,893.89,204.28,20,KG_0033918_26_338,149.51843,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_08,ID_4T5Z9ZTC6P,2025-05-07 13:19:30.000000,128.19216,32.583846,338,-79.65,13.03,853.4,200.8,23,KG_0033918_26_338,150.47383,C4,信道干扰
LOC_ID_4T5Z9ZTC6P_09,ID_4T5Z9ZTC6P,2025-05-07 13:19:31.000000,128.19218,32.583857,338,-83,11.29,804.74,196.42,35,KG_0033918_26_338,151.84966,C4,信道干扰
LOC_ID_YN7969NO6H_00,ID_YN7969NO6H,2025-05-07 13:36:52.000000,128.19466,32.583809,432,-75.56,5.91,771.58,206.73,12,KG_0033918_29_432,105.40598,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_01,ID_YN7969NO6H,2025-05-07 13:36:53.000000,128.19466,32.58379,432,-77.81,2.58,927.97,209.81,10,KG_0033918_29_432,107.05461,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_02,ID_YN7969NO6H,2025-05-07 13:36:54.000000,128.19465,32.583767,432,-77.86,8.61,625.93,195.99,10,KG_0033918_29_432,108.22154,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_03,ID_YN7969NO6H,2025-05-07 13:36:55.000000,128.19464,32.583736,432,-75.42,10,908.31,210.48,6,KG_0033918_29_432,110.61343,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_04,ID_YN7969NO6H,2025-05-07 13:36:56.000000,128.19465,32.583717,432,-82.85,7.78,1015.59,211.39,28,KG_0033918_29_432,113.095,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_05,ID_YN7969NO6H,2025-05-07 13:36:57.000000,128.19467,32.583697,835,-81.98,9.42,416.23,211.12,36,KG_0033916_0_835,3020.2843,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_06,ID_YN7969NO6H,2025-05-07 13:36:58.000000,128.19469,32.583674,835,-80.23,5.6,411.37,211.01,8,KG_0033916_0_835,3017.5069,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_07,ID_YN7969NO6H,2025-05-07 13:36:59.000000,128.19472,32.583655,835,-89.92,11.74,336.89,200.15,31,KG_0033916_0_835,3014.6651,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_08,ID_YN7969NO6H,2025-05-07 13:37:00.000000,128.19477,32.583635,835,-71.49,23.94,439.31,207.5,37,KG_0033916_0_835,3010.5085,C2,信号中断/覆盖退化
LOC_ID_YN7969NO6H_09,ID_YN7969NO6H,2025-05-07 13:37:01.000000,128.19482,32.583616,400,-73.42,24.91,1176.49,206.7,24,KG_0033918_28_400,132.04435,C2,信号中断/覆盖退化
LOC_ID_1W0Z7Z03FA_00,ID_1W0Z7Z03FA,2025-05-07 13:46:02.000000,128.19649,32.582909,44,-80.22,23.32,1201.11,210.23,5,KG_0033916_27_44,97.445636,C8,带宽不足
LOC_ID_1W0Z7Z03FA_01,ID_1W0Z7Z03FA,2025-05-07 13:46:03.000000,128.19649,32.581988,44,-81.9,21.38,1030.26,209.87,39,KG_0033916_27_44,60.100113,C8,带宽不足
LOC_ID_1W0Z7Z03FA_02,ID_1W0Z7Z03FA,2025-05-07 13:46:04.000000,128.19653,32.582877,44,-79.58,21.83,1146.15,210.44,2,KG_0033916_27_44,92.226361,C8,带宽不足
LOC_ID_1W0Z7Z03FA_03,ID_1W0Z7Z03FA,2025-05-07 13:46:05.000000,128.19656,32.582866,44,-80.1,20.45,1126.38,208.79,34,KG_0033916_27_44,89.697629,C8,带宽不足
LOC_ID_1W0Z7Z03FA_04,ID_1W0Z7Z03FA,2025-05-07 13:46:06.000000,128.1966,32.582847,44,-86.21,17.92,401.27,104.81,30,KG_0033916_27_44,86.145087,C8,带宽不足
LOC_ID_1W0Z7Z03FA_05,ID_1W0Z7Z03FA,2025-05-07 13:46:07.000000,128.19664,32.582826,44,-84.39,14.09,333.62,104.06,2,KG_0033916_27_44,82.047727,C8,带宽不足
LOC_ID_1W0Z7Z03FA_06,ID_1W0Z7Z03FA,2025-05-07 13:46:08.000000,128.19667,32.582807,113,-88.77,14.07,164.76,93.52,6,KG_0033916_5_113,196.09258,C8,带宽不足
LOC_ID_1W0Z7Z03FA_07,ID_1W0Z7Z03FA,2025-05-07 13:46:09.000000,128.19671,32.582784,113,-79.5,13.09,152.38,95.45,3,KG_0033916_5_113,192.088,C8,带宽不足
LOC_ID_1W0Z7Z03FA_08,ID_1W0Z7Z03FA,2025-05-07 13:46:10.000000,128.19674,32.582764,113,-82.03,15.03,767.39,208.37,12,KG_0033916_5_113,188.12726,C8,带宽不足
LOC_ID_1W0Z7Z03FA_09,ID_1W0Z7Z03FA,2025-05-07 13:46:11.000000,128.19677,32.582757,113,-87.41,12.38,817.97,201.65,5,KG_0033916_5_113,185.40298,C8,带宽不足
LOC_ID_6IEENAY3DS_00,ID_6IEENAY3DS,2025-05-07 11:31:35.000000,128.19443,32.579984,482,-85.41,6.01,1364.09,206.16,37,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_01,ID_6IEENAY3DS,2025-05-07 11:31:36.000000,128.19443,32.579984,482,-84.22,5.41,1445.58,205.24,0,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_02,ID_6IEENAY3DS,2025-05-07 11:31:37.000000,128.19443,32.579984,482,-84.26,4.73,1235.61,207.86,31,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_03,ID_6IEENAY3DS,2025-05-07 11:31:38.000000,128.19443,32.579984,482,-85.78,7.39,1138.3,209.85,8,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_04,ID_6IEENAY3DS,2025-05-07 11:31:39.000000,128.19443,32.579984,482,-82.93,9.32,1343.73,209.13,31,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_05,ID_6IEENAY3DS,2025-05-07 11:31:40.000000,128.19443,32.579984,482,-85.32,6.48,474.8,104.5,6,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_06,ID_6IEENAY3DS,2025-05-07 11:31:41.000000,128.19443,32.579984,482,-87.25,4.8,544.64,104.18,24,KG_0033917_15_482,30.252745,C8,带宽不足
LOC_ID_6IEENAY3DS_07,ID_6IEENAY3DS,2025-05-07 11:31:42.000000,128.19439,32.580014,462,-86.53,8.13,594.68,103.91,24,KG_0033917_26_462,40.954208,C8,带宽不足
LOC_ID_6IEENAY3DS_08,ID_6IEENAY3DS,2025-05-07 11:31:43.000000,128.19443,32.579984,462,-87.63,11.78,576.68,104.445,28,KG_0033917_26_462,36.279205,C8,带宽不足
LOC_ID_6IEENAY3DS_09,ID_6IEENAY3DS,2025-05-07 11:31:44.000000,128.19443,32.579984,462,-83.48,12.15,1389.74,208.94,10,KG_0033917_26_462,36.279205,C8,带宽不足
LOC_ID_KYV7TLA3TL_00,ID_KYV7TLA3TL,2025-05-07 14:15:22.000000,128.18691,32.584055,330,-91.8,21.51,677.76,208.83,33,KG_0033164_4_330,91.291996,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_01,ID_KYV7TLA3TL,2025-05-07 14:15:23.000000,128.18691,32.584055,330,-92.69,22.17,1126.34,206.41,16,KG_0033164_4_330,91.291996,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_02,ID_KYV7TLA3TL,2025-05-07 14:15:24.000000,128.18587,32.585626,330,-90.31,22.08,270.69,204.41,36,KG_0033164_4_330,145.32984,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_03,ID_KYV7TLA3TL,2025-05-07 14:15:25.000000,128.18691,32.584055,330,-91.04,21.48,338.15,197.54,27,KG_0033164_4_330,91.291996,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_04,ID_KYV7TLA3TL,2025-05-07 14:15:26.000000,128.18691,32.584055,591,-87.68,21.67,331.24,195.74,0,KG_0033164_5_591,207.26471,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_05,ID_KYV7TLA3TL,2025-05-07 14:15:27.000000,128.18691,32.584055,591,-83.41,23.7,400.83,198.45,10,KG_0033164_5_591,207.26471,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_06,ID_KYV7TLA3TL,2025-05-07 14:15:28.000000,128.18691,32.584055,591,-86.05,23.04,915.3,196.95,22,KG_0033164_5_591,207.26471,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_07,ID_KYV7TLA3TL,2025-05-07 14:15:29.000000,128.18691,32.584055,591,-84.59,22.07,838.15,182.99,4,KG_0033164_5_591,207.26471,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_08,ID_KYV7TLA3TL,2025-05-07 14:15:30.000000,128.18691,32.584055,591,-85.38,22.3,825.33,194.47,22,KG_0033164_5_591,207.26471,C1,信号中断/覆盖退化
LOC_ID_KYV7TLA3TL_09,ID_KYV7TLA3TL,2025-05-07 14:15:31.000000,128.18691,32.584055,591,-85.94,23.97,624.83,200.84,12,KG_0033164_5_591,207.26471,C1,信号中断/覆盖退化
LOC_ID_KUQ56NHKRC_00,ID_KUQ56NHKRC,2025-05-07 15:11:42.000000,128.18703,32.582075,217,-83.75,13.15,1200.17,210.67,23,KG_0033317_13_217,159.79234,C8,带宽不足
LOC_ID_KUQ56NHKRC_01,ID_KUQ56NHKRC,2025-05-07 15:11:43.000000,128.18704,32.582075,217,-80.35,13.02,1183.75,210.86,20,KG_0033317_13_217,159.88307,C8,带宽不足
LOC_ID_KUQ56NHKRC_02,ID_KUQ56NHKRC,2025-05-07 15:11:44.000000,128.18705,32.582086,217,-84.21,11.15,959.79,211.18,18,KG_0033317_13_217,161.15918,C8,带宽不足
LOC_ID_KUQ56NHKRC_03,ID_KUQ56NHKRC,2025-05-07 15:11:45.000000,128.18706,32.582098,217,-84.65,10.93,951.47,210.71,21,KG_0033317_13_217,162.54118,C8,带宽不足
LOC_ID_KUQ56NHKRC_04,ID_KUQ56NHKRC,2025-05-07 15:11:46.000000,128.18706,32.582117,217,-84.85,8.23,417.25,104.9,15,KG_0033317_13_217,164.70063,C8,带宽不足
LOC_ID_KUQ56NHKRC_05,ID_KUQ56NHKRC,2025-05-07 15:11:47.000000,128.18708,32.582125,217,-86.51,6.94,400.74,105.13,1,KG_0033317_13_217,165.77127,C8,带宽不足
LOC_ID_KUQ56NHKRC_06,ID_KUQ56NHKRC,2025-05-07 15:11:48.000000,128.18709,32.582136,96,-89.35,9.42,466.05,105.195,34,KG_0033317_14_96,326.53734,C8,带宽不足
LOC_ID_KUQ56NHKRC_07,ID_KUQ56NHKRC,2025-05-07 15:11:49.000000,128.18709,32.582136,96,-84.33,11.95,423.05,105.345,10,KG_0033317_14_96,326.53734,C8,带宽不足
LOC_ID_KUQ56NHKRC_08,ID_KUQ56NHKRC,2025-05-07 15:11:50.000000,128.18709,32.582136,96,-83.09,9.39,884.29,210,23,KG_0033317_14_96,326.53734,C8,带宽不足
LOC_ID_KUQ56NHKRC_09,ID_KUQ56NHKRC,2025-05-07 15:11:51.000000,128.18709,32.582136,96,-86.55,7.75,993.62,210.15,14,KG_0033317_14_96,326.53734,C8,带宽不足
LOC_ID_2KSUJ32FOL_00,ID_2KSUJ32FOL,2025-05-07 13:34:02.000000,128.19132,32.58735,418,-85.62,12.17,613.68,185.2,22,KG_0033237_17_418,71.376981,C3,信道干扰
LOC_ID_2KSUJ32FOL_01,ID_2KSUJ32FOL,2025-05-07 13:34:03.000000,128.19132,32.58735,418,-87.41,12.8,683.69,201.82,21,KG_0033237_17_418,71.376981,C3,信道干扰
LOC_ID_2KSUJ32FOL_02,ID_2KSUJ32FOL,2025-05-07 13:34:04.000000,128.19132,32.58735,418,-86.43,12.51,696.36,205.17,10,KG_0033237_17_418,71.376981,C3,信道干扰
LOC_ID_2KSUJ32FOL_03,ID_2KSUJ32FOL,2025-05-07 13:34:05.000000,128.19132,32.58735,418,-86.23,13.1,1118.61,199.4,33,KG_0033237_17_418,71.376981,C3,信道干扰
LOC_ID_2KSUJ32FOL_04,ID_2KSUJ32FOL,2025-05-07 13:34:06.000000,128.19132,32.58735,418,-87.78,13.17,284.04,208.44,4,KG_0033237_17_418,71.376981,C3,信道干扰
LOC_ID_2KSUJ32FOL_05,ID_2KSUJ32FOL,2025-05-07 13:34:07.000000,128.19132,32.58735,418,-87.17,13.86,215.69,190.77,3,KG_0033237_17_418,71.376981,C3,信道干扰
LOC_ID_2KSUJ32FOL_06,ID_2KSUJ32FOL,2025-05-07 13:34:08.000000,128.19132,32.58735,333,-87.2,15.04,453.74,193.35,32,KG_0033237_15_333,105.2015,C3,信道干扰
